date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:21:33	173565/173565	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Feb%202021%2002:21:32%20GMT	https://leadsgorilla.io/special2/	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/special2/index.html	(from )
03:21:35	288/288	---M-Z	200	added ('OK')	text/plain	etag:%22780ed-3d2-5ba4ad81ab880-gzip%22	https://leadsgorilla.io/robots.txt		(from )
03:21:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Feb%202021%2002:21:38%20GMT	http://leadsgorilla.io/wp-content/cache/wpfc-minified/2nz2r0gn/fybf5.css	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/cache/wpfc-minified/2nz2r0gn/fybf5.1.delayed	(from https://leadsgorilla.io/special2/)
03:21:37	87561/87561	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jul%202020%2012:49:31%20GMT	https://leadsgorilla.io/wp-content/uploads/2020/07/Stunning-Transparent-Image-Suite2.png	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/uploads/2020/07/Stunning-Transparent-Image-Suite2.png	(from https://leadsgorilla.io/special2/)
03:21:39	1027907/1027907	---M-Z	200	added ('OK')	text/css	date:Tue,%2009%20Feb%202021%2014:11:15%20GMT	https://leadsgorilla.io/wp-content/cache/wpfc-minified/2nz2r0gn/fybf5.css	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/cache/wpfc-minified/2nz2r0gn/fybf5.css	(from https://leadsgorilla.io/special2/)
03:21:39	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2016%20Feb%202021%2002:21:40%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Mefeclub/www.googletagmanager.com/gtm.35445.delayed	(from https://leadsgorilla.io/special2/)
03:21:41	3260/3260	---M--	200	added ('OK')	image/png	date:Wed,%2006%20May%202020%2018:29:20%20GMT	https://leadsgorilla.io/wp-content/uploads/2020/05/favicon-1.png	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/uploads/2020/05/favicon-1.png	(from https://leadsgorilla.io/special2/)
03:21:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Feb%202021%2002:21:42%20GMT	http://leadsgorilla.io/wp-content/cache/wpfc-minified/2elad0ym/fybf4.css	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/cache/wpfc-minified/2elad0ym/fybf4.css	(from https://leadsgorilla.io/special2/)
03:21:42	160418/160418	---M-Z	200	added ('OK')	text/css	date:Tue,%2009%20Feb%202021%2014:11:14%20GMT	https://leadsgorilla.io/wp-content/cache/wpfc-minified/2elad0ym/fybf4.css	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/cache/wpfc-minified/2elad0ym/fybf4.css	(from https://leadsgorilla.io/special2/)
03:21:43	4057/4057	---M--	200	added ('OK')	image/png	date:Thu,%2007%20May%202020%2019:01:42%20GMT	https://leadsgorilla.io/wp-content/uploads/2020/05/Logo.png	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/uploads/2020/05/Logo.png	(from https://leadsgorilla.io/special2/)
03:21:45	3120/3120	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jun%202020%2018:57:07%20GMT	https://leadsgorilla.io/wp-content/uploads/2020/06/Untitled-1.png	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/uploads/2020/06/Untitled-1.png	(from https://leadsgorilla.io/special2/)
03:21:47	1990/1990	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Jun%202020%2017:45:23%20GMT	https://leadsgorilla.io/wp-content/uploads/2020/06/tt-2-1.png	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/uploads/2020/06/tt-2-1.png	(from https://leadsgorilla.io/special2/)
03:21:48	12401/12401	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Jun%202020%2017:45:38%20GMT	https://leadsgorilla.io/wp-content/uploads/2020/06/guarantee-white-1-4-1.png	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/uploads/2020/06/guarantee-white-1-4-1.png	(from https://leadsgorilla.io/special2/)
03:21:49	30220/30220	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Jul%202020%2019:15:09%20GMT	https://leadsgorilla.io/wp-content/uploads/2020/07/step-1-4.png	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/uploads/2020/07/step-1-4.png	(from https://leadsgorilla.io/special2/)
03:21:51	39271/39271	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Jul%202020%2019:15:11%20GMT	https://leadsgorilla.io/wp-content/uploads/2020/07/step-2-5.png	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/uploads/2020/07/step-2-5.png	(from https://leadsgorilla.io/special2/)
03:21:52	22084/22084	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Jul%202020%2019:15:14%20GMT	https://leadsgorilla.io/wp-content/uploads/2020/07/step-3-4.png	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/uploads/2020/07/step-3-4.png	(from https://leadsgorilla.io/special2/)
03:21:53	118462/118462	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jul%202020%2015:22:34%20GMT	https://leadsgorilla.io/wp-content/uploads/2020/07/321-1.png	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/uploads/2020/07/321-1.png	(from https://leadsgorilla.io/special2/)
03:21:55	91143/91143	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jul%202020%2019:02:24%20GMT	https://leadsgorilla.io/wp-content/uploads/2020/07/280.png	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/uploads/2020/07/280.png	(from https://leadsgorilla.io/special2/)
03:21:55	24567/24567	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jul%202020%2001:04:53%20GMT	https://leadsgorilla.io/wp-content/uploads/2020/07/2286642-2-1.png	C:/My%20Web%20Sites/Mefeclub/leadsgorilla.io/wp-content/uploads/2020/07/2286642-2-1.png	(from https://leadsgorilla.io/special2/)
